student_id,grade_level,age,gender,race_ethnicity,free_reduced_lunch,ell_status,iep_status,section_504,gifted_program,current_gpa,cumulative_gpa,gpa_trend,course_failures_total,grade_retained_ever,years_data_available,credits_earned,recent_Reading_Grade,recent_Math_Grade,recent_Science_Grade,recent_Social_Studies_Grade,recent_year_gpa,recent_ELA_Grade,recent_Elective1_Grade,recent_Elective2_Grade,recent_English_Grade,recent_PE_Grade,attendance_rate,chronic_absenteeism,tardiness_rate,behavior_score,disciplinary_incidents,suspensions,extracurricular_count,parent_engagement_level,technology_access,success_probability,current_success,risk_category,next_grade_success_pred,next_grade_success_prob,graduation_prediction,graduation_probability
3348,0,5,F,Black,0,0,0,0,0,3.89,3.89,0.0,0,0,1,0,4.0,3.56,4.0,4.0,3.89,,,,,,0.931,0,0.006,0.866,1,0,0,1,1,0.95,1,Low Risk,1,0.89,,
3349,12,17,F,White,1,1,1,0,0,2.7,1.98,1.47,0,0,3,72,,3.01,3.1,2.61,2.7,,2.68,1.76,2.73,3.02,0.858,1,0.063,0.746,0,0,0,0,1,0.617,1,Medium Risk,0,0.615,0.0,0.687
3350,12,17,M,Hispanic,0,0,0,0,0,3.2,3.32,-0.8,0,0,3,72,,3.12,2.93,3.71,3.2,,3.01,2.71,3.47,3.45,0.971,0,0.008,1.0,0,0,1,1,1,0.95,1,Low Risk,1,0.95,1.0,0.95
3351,3,8,F,White,1,0,0,0,0,1.83,2.71,-1.53,0,0,3,18,1.95,1.54,1.95,1.87,1.83,,,,,,0.977,0,0.002,1.0,0,0,0,0,1,0.763,1,Medium Risk,1,0.761,,
3352,5,9,F,Multi-racial,0,0,1,0,0,3.31,2.94,0.07,0,0,3,30,3.69,3.02,3.3,3.23,3.31,,,,,,0.886,1,0.011,0.792,0,0,1,0,1,0.907,1,Low Risk,1,0.95,,
3353,10,15,F,Asian,0,0,0,0,0,2.65,3.18,-1.06,0,0,3,60,,2.6,2.77,2.76,2.65,,2.57,2.76,2.49,2.62,0.859,1,0.036,0.844,1,0,0,1,1,0.77,1,Medium Risk,1,0.806,0.0,0.835
3354,7,12,M,White,1,0,0,0,0,2.78,3.01,-0.66,0,0,3,42,,3.05,2.47,2.22,2.78,2.74,3.26,2.97,,,0.703,1,0.003,0.899,0,0,1,0,0,0.683,0,Medium Risk,1,0.66,,
3355,0,5,F,Hispanic,0,0,0,0,0,3.24,3.24,0.0,0,0,1,0,3.11,3.53,3.2,3.11,3.24,,,,,,0.99,0,0.009,0.959,0,0,0,0,1,0.95,1,Low Risk,1,0.895,,
3356,10,15,F,Asian,1,1,0,0,0,2.01,2.21,0.08,1,1,3,58,,1.71,1.99,2.02,2.01,,2.17,2.07,2.05,2.09,0.854,1,0.031,1.0,0,0,0,0,1,0.313,1,High Risk,1,0.303,1.0,0.314
3357,11,15,F,Black,0,0,0,0,0,3.82,3.69,0.0,0,0,3,66,,3.8,4.0,3.89,3.82,,3.77,3.82,3.62,3.84,0.827,1,0.012,0.801,1,0,2,0,1,0.95,1,Low Risk,1,0.95,1.0,0.95
3358,6,11,M,White,0,0,0,0,0,3.98,3.36,0.27,0,0,3,36,,4.0,3.92,4.0,3.98,4.0,4.0,3.97,,,0.881,1,0.016,0.766,1,0,1,1,1,0.95,1,Low Risk,1,0.918,,
3359,9,13,M,White,1,0,1,0,0,2.12,2.1,-0.54,0,0,3,54,,2.8,2.02,2.38,2.12,,1.87,1.82,2.21,1.71,0.876,1,0.026,0.709,1,0,0,1,1,0.556,1,High Risk,1,0.559,0.0,0.568
3360,6,11,M,Hispanic,0,0,0,0,0,3.8,3.9,-0.2,0,0,3,36,,3.44,3.95,3.98,3.8,3.53,3.89,4.0,,,0.99,0,0.025,1.0,0,0,0,1,1,0.95,1,Low Risk,1,0.864,,
3361,12,17,F,Multi-racial,1,0,1,0,0,3.63,2.54,1.43,0,0,3,72,,3.86,3.51,3.98,3.63,,2.96,3.77,3.67,3.67,0.896,1,0.084,0.751,2,0,0,1,1,0.828,1,Low Risk,0,0.75,1.0,0.95
3362,7,12,M,Hispanic,1,0,0,0,0,2.37,2.85,-1.01,0,0,3,42,,2.91,2.47,2.29,2.37,2.2,2.1,2.23,,,0.785,1,0.02,0.965,0,0,1,0,0,0.646,1,Medium Risk,1,0.623,,
3363,5,11,M,White,1,0,0,0,0,2.44,2.58,0.44,0,0,3,30,2.38,2.39,2.75,2.22,2.44,,,,,,0.99,0,0.054,0.968,0,0,1,1,0,0.908,1,Low Risk,1,0.818,,
3364,4,9,M,White,0,0,1,0,1,3.24,3.73,-0.72,0,0,3,24,3.53,3.57,2.8,3.08,3.24,,,,,,0.99,0,0.013,0.922,0,0,0,2,1,0.95,1,Low Risk,1,0.95,,
3365,4,9,M,White,0,0,0,0,0,3.56,3.66,0.14,0,0,3,24,3.6,3.46,3.89,3.27,3.56,,,,,,0.869,1,0.111,0.941,0,0,0,1,1,0.95,1,Low Risk,1,0.897,,
3366,2,7,F,Hispanic,1,0,0,0,0,2.88,2.97,-0.28,0,0,3,12,2.49,3.17,2.85,3.02,2.88,,,,,,0.81,1,0.004,1.0,0,0,0,1,1,0.82,1,Low Risk,0,0.757,,
3367,11,17,M,Black,0,0,0,0,0,1.84,2.4,-0.72,0,0,3,66,,1.63,1.89,1.81,1.84,,1.93,2.17,2.0,1.45,0.919,0,0.022,1.0,0,0,2,1,1,0.867,1,Low Risk,1,0.907,1.0,0.851
3368,3,8,M,White,1,0,0,0,0,4.0,3.71,0.72,0,0,3,18,4.0,4.0,4.0,4.0,4.0,,,,,,0.864,1,0.003,0.739,1,0,0,0,1,0.934,0,Low Risk,1,0.95,,
3369,0,5,M,Hispanic,0,0,0,0,0,2.82,2.82,0.0,0,0,1,0,3.15,2.66,2.68,2.79,2.82,,,,,,0.817,1,0.004,0.828,0,0,0,1,1,0.913,1,Low Risk,1,0.847,,
3370,12,17,M,White,1,0,1,0,0,2.33,2.26,0.11,0,0,3,72,,1.96,2.54,2.63,2.33,,2.63,2.15,2.23,2.14,0.765,1,0.034,0.77,0,0,1,1,1,0.664,0,Medium Risk,0,0.693,1.0,0.697
3371,4,9,M,White,1,0,0,0,0,2.93,2.92,0.38,0,0,3,24,2.66,3.01,2.88,3.18,2.93,,,,,,0.931,0,0.002,1.0,0,0,0,1,1,0.944,1,Low Risk,1,0.887,,
3372,6,11,F,Hispanic,1,0,0,0,0,2.25,2.86,-0.99,0,0,3,36,,2.2,2.22,2.34,2.25,2.79,2.29,1.66,,,0.79,1,0.018,0.719,2,0,0,2,1,0.659,0,Medium Risk,0,0.678,,
3373,6,11,M,Hispanic,1,0,0,1,0,3.3,2.96,0.42,0,0,3,36,,3.6,3.41,3.55,3.3,3.24,3.13,2.88,,,0.979,0,0.02,0.861,0,0,0,0,1,0.934,0,Low Risk,1,0.949,,
3374,1,6,M,Hispanic,0,0,0,0,0,3.69,3.66,0.07,0,0,2,6,3.66,3.63,3.67,3.8,3.69,,,,,,0.987,0,0.004,1.0,0,0,0,2,0,0.95,1,Low Risk,1,0.95,,
3375,2,7,F,Black,1,0,1,0,0,2.0,2.77,-1.44,0,0,3,12,2.09,2.15,1.98,1.76,2.0,,,,,,0.99,0,0.004,0.819,0,0,1,1,1,0.832,1,Low Risk,0,0.739,,
3376,8,13,F,White,0,0,0,0,1,4.0,3.73,0.02,0,0,3,48,,4.0,4.0,4.0,4.0,4.0,4.0,4.0,,,0.861,1,0.018,0.934,1,0,0,1,1,0.95,1,Low Risk,1,0.86,,
3377,4,9,M,Black,0,1,0,0,0,2.98,3.03,0.01,0,0,3,24,3.38,2.27,3.13,3.14,2.98,,,,,,0.972,0,0.001,0.969,0,0,0,0,1,0.944,1,Low Risk,1,0.95,,
3378,8,13,F,Black,1,0,1,0,0,2.1,2.66,-0.7,1,0,3,46,,1.9,1.76,2.11,2.1,2.51,1.91,2.4,,,0.903,0,0.013,0.789,0,0,0,2,1,0.681,1,Medium Risk,0,0.623,,
3379,0,5,F,White,0,0,0,0,0,3.69,3.69,0.0,0,0,1,0,3.47,4.0,3.73,3.57,3.69,,,,,,0.869,1,0.104,0.94,0,0,0,1,0,0.95,1,Low Risk,1,0.919,,
3380,2,7,F,White,0,0,0,0,0,3.54,3.77,-0.23,0,0,3,12,4.0,3.91,3.01,3.26,3.54,,,,,,0.876,1,0.037,0.909,1,0,1,0,1,0.95,1,Low Risk,1,0.95,,
3381,11,16,M,Hispanic,1,0,1,0,0,2.14,2.28,-0.34,0,1,3,66,,1.87,1.93,2.14,2.14,,2.07,2.54,2.33,2.12,0.893,1,0.001,0.924,0,0,0,0,1,0.464,0,High Risk,1,0.415,0.0,0.478
3382,0,5,F,White,0,1,1,0,0,2.82,2.82,0.0,0,0,1,0,3.06,3.2,2.81,2.21,2.82,,,,,,0.927,0,0.002,0.924,0,0,0,1,1,0.946,1,Low Risk,1,0.921,,
3383,0,5,F,Black,0,0,0,1,0,3.82,3.82,0.0,0,0,1,0,4.0,3.53,4.0,3.73,3.82,,,,,,0.99,0,0.105,0.99,0,0,1,1,1,0.95,1,Low Risk,1,0.95,,
3384,4,8,F,Hispanic,1,0,1,0,0,2.44,2.6,0.13,0,0,3,24,2.55,2.54,2.41,2.24,2.44,,,,,,0.91,0,0.008,0.817,0,0,0,2,1,0.864,1,Low Risk,1,0.851,,
3385,4,9,F,Hispanic,1,0,0,0,0,2.98,3.26,0.18,0,0,3,24,3.32,2.57,2.78,3.23,2.98,,,,,,0.854,1,0.003,0.863,1,0,1,1,0,0.838,1,Low Risk,1,0.762,,
3386,9,14,M,White,1,0,0,0,0,2.69,3.04,-0.76,0,0,3,54,,2.72,2.29,2.82,2.69,,2.57,2.99,2.54,2.89,0.891,1,0.011,0.752,2,0,1,1,1,0.696,1,Medium Risk,1,0.775,0.0,0.765
3387,5,10,F,Hispanic,0,0,0,0,0,2.7,3.57,-1.3,0,0,3,30,2.26,2.99,2.6,2.94,2.7,,,,,,0.99,0,0.091,0.906,0,0,0,2,1,0.95,1,Low Risk,1,0.91,,
3388,10,15,F,Hispanic,1,0,0,0,0,2.6,3.01,-0.78,0,0,3,60,,2.59,2.47,2.85,2.6,,2.97,2.6,2.2,2.55,0.799,1,0.011,0.827,0,0,0,2,1,0.725,1,Medium Risk,1,0.781,0.0,0.785
3389,5,10,F,White,1,0,0,0,1,3.94,3.8,0.45,0,0,3,30,4.0,4.0,3.76,4.0,3.94,,,,,,0.99,0,0.011,0.957,0,0,0,1,1,0.95,1,Low Risk,1,0.95,,
3390,9,13,F,Black,0,0,0,0,0,2.69,3.54,-1.26,0,0,3,54,,2.5,3.26,2.41,2.69,,2.71,2.94,2.39,2.61,0.98,0,0.01,0.979,0,0,1,1,1,0.943,1,Low Risk,1,0.95,1.0,0.95
3391,3,8,M,White,0,0,0,0,0,2.99,3.64,-0.95,0,0,3,18,3.22,2.54,3.07,3.13,2.99,,,,,,0.99,0,0.017,0.95,0,0,0,1,1,0.95,1,Low Risk,1,0.853,,
3392,0,4,M,Hispanic,1,0,0,0,0,3.12,3.12,0.0,0,0,1,0,3.39,2.73,3.13,3.21,3.12,,,,,,0.773,1,0.023,0.762,1,0,1,2,1,0.915,1,Low Risk,1,0.888,,
3393,7,12,F,Hispanic,0,0,1,0,0,3.56,3.11,0.97,0,0,3,42,,3.16,3.6,3.62,3.56,3.92,3.73,3.34,,,0.99,0,0.011,0.756,0,0,2,0,1,0.95,1,Low Risk,1,0.95,,
3394,5,10,M,Asian,1,0,0,0,0,3.12,2.77,0.67,0,0,3,30,3.26,2.82,3.2,3.2,3.12,,,,,,0.917,0,0.049,0.95,0,0,0,1,1,0.95,1,Low Risk,1,0.95,,
3395,2,8,M,Asian,0,1,0,0,0,2.78,2.86,-0.64,0,0,3,12,2.71,2.73,3.06,2.64,2.78,,,,,,0.99,0,0.013,0.834,1,1,0,0,1,0.919,1,Low Risk,1,0.95,,
3396,5,10,F,White,0,0,0,0,0,3.98,3.52,1.1,0,0,3,30,4.0,4.0,3.9,4.0,3.98,,,,,,0.91,0,0.028,0.936,1,0,0,2,1,0.95,1,Low Risk,1,0.95,,
3397,3,8,F,White,1,0,0,0,0,2.88,3.27,-0.2,0,0,3,18,3.15,2.82,2.95,2.62,2.88,,,,,,0.924,0,0.031,0.893,0,0,0,1,0,0.944,1,Low Risk,1,0.95,,
3398,0,5,F,White,0,0,0,0,1,3.52,3.52,0.0,0,0,1,0,3.17,3.68,3.61,3.64,3.52,,,,,,0.867,1,0.143,1.0,0,0,1,1,1,0.95,1,Low Risk,1,0.893,,
3399,9,15,F,Hispanic,1,0,0,0,0,1.41,2.01,-1.08,0,0,3,54,,1.32,1.51,1.58,1.41,,1.55,0.75,2.23,0.92,0.99,0,0.012,0.855,0,0,0,0,1,0.604,1,Medium Risk,1,0.603,1.0,0.544
3400,2,7,F,Black,0,0,0,0,0,3.56,3.68,-0.3,0,0,3,12,3.43,3.59,3.79,3.44,3.56,,,,,,0.911,0,0.074,0.853,0,0,0,1,1,0.95,1,Low Risk,1,0.95,,
3401,5,11,F,White,0,0,0,0,0,2.28,3.02,-1.48,0,0,3,30,2.54,2.45,1.64,2.47,2.28,,,,,,0.933,0,0.003,0.909,0,0,0,1,1,0.917,1,Low Risk,1,0.95,,
3402,1,7,M,White,1,1,0,0,0,3.15,2.73,0.84,1,0,2,4,3.0,3.22,3.26,3.13,3.15,,,,,,0.99,0,0.012,0.822,0,0,0,1,1,0.885,1,Low Risk,1,0.908,,
3403,0,5,F,White,1,0,0,0,0,3.47,3.47,0.0,0,0,1,0,3.4,3.56,3.14,3.78,3.47,,,,,,0.857,1,0.012,0.916,0,0,1,1,1,0.95,0,Low Risk,1,0.917,,
3404,3,8,M,Hispanic,1,0,0,0,0,2.34,3.02,-0.37,0,0,3,18,2.34,2.03,2.61,2.39,2.34,,,,,,0.968,0,0.018,1.0,0,0,0,1,1,0.876,1,Low Risk,1,0.861,,
3405,11,16,M,White,1,0,0,0,0,2.07,3.07,-1.2,0,0,3,66,,1.65,2.26,2.31,2.07,,2.37,1.83,2.09,1.95,0.899,1,0.026,0.927,0,0,0,1,1,0.655,1,Medium Risk,1,0.633,1.0,0.662
3406,2,7,M,White,0,0,0,0,0,4.0,3.92,0.15,0,0,3,12,4.0,4.0,4.0,4.0,4.0,,,,,,0.99,0,0.012,0.987,0,0,0,1,1,0.95,1,Low Risk,1,0.9,,
3407,3,8,M,White,1,0,1,0,1,3.82,3.3,1.26,0,0,3,18,3.9,3.88,3.6,3.91,3.82,,,,,,0.779,1,0.05,0.767,1,1,1,0,1,0.872,1,Low Risk,0,0.907,,
3408,10,15,F,White,0,0,0,0,0,3.86,3.56,0.64,0,0,3,60,,4.0,4.0,3.88,3.86,,3.62,3.53,4.0,4.0,0.884,1,0.08,0.814,0,0,1,0,1,0.95,1,Low Risk,1,0.851,1.0,0.95
3409,0,5,M,Hispanic,1,0,0,0,0,3.24,3.24,0.0,0,0,1,0,3.66,3.08,3.26,2.95,3.24,,,,,,0.859,1,0.008,0.892,1,0,0,0,1,0.849,1,Low Risk,1,0.784,,
3410,0,6,M,White,1,1,0,0,0,2.77,2.77,0.0,1,0,1,0,2.91,2.56,2.56,3.06,2.77,,,,,,0.79,1,0.017,0.85,0,0,0,1,1,0.677,0,Medium Risk,1,0.645,,
3411,3,8,M,Hispanic,1,0,1,0,0,2.88,2.68,1.26,0,0,3,18,2.48,3.22,2.67,3.16,2.88,,,,,,0.947,0,0.03,0.737,0,0,0,1,1,0.911,1,Low Risk,1,0.95,,
3412,7,12,F,Black,0,1,1,0,0,2.56,2.48,-0.01,0,0,3,42,,1.9,2.79,2.5,2.56,2.66,2.76,2.78,,,0.855,1,0.048,0.757,1,0,0,0,0,0.625,0,Medium Risk,1,0.666,,
3413,6,11,F,White,1,0,0,0,0,2.27,2.8,-0.79,0,0,3,36,,2.41,2.24,2.6,2.27,2.29,1.95,2.12,,,0.888,1,0.061,0.985,0,0,1,1,1,0.722,1,Medium Risk,0,0.706,,
3414,4,10,F,Hispanic,0,0,0,0,0,3.57,3.38,0.33,0,0,3,24,3.67,3.7,3.61,3.31,3.57,,,,,,0.963,0,0.03,0.879,0,0,0,1,1,0.95,1,Low Risk,1,0.95,,
3415,8,12,M,Hispanic,0,0,0,0,0,3.62,3.39,0.09,0,0,3,48,,3.28,3.56,3.95,3.62,3.61,3.8,3.55,,,0.828,1,0.119,0.91,0,0,0,0,1,0.906,1,Low Risk,1,0.95,,
3416,8,13,M,White,1,0,0,0,0,3.36,3.0,0.58,0,0,3,48,,3.53,3.18,2.96,3.36,3.71,3.55,3.23,,,0.889,1,0.0,1.0,0,0,1,1,1,0.876,1,Low Risk,1,0.95,,
3417,7,13,M,White,1,0,0,0,0,1.94,2.28,-0.99,1,0,3,40,,1.94,2.14,2.55,1.94,1.81,1.7,1.53,,,0.977,0,0.03,0.772,0,0,1,2,1,0.739,1,Medium Risk,1,0.726,,
3418,6,11,F,Black,1,0,0,1,0,2.26,2.93,-0.94,0,0,3,36,,2.41,2.11,2.4,2.26,2.33,2.27,2.05,,,0.793,1,0.012,0.78,1,0,1,1,1,0.672,1,Medium Risk,0,0.655,,
3419,9,13,F,Asian,0,0,0,0,0,3.01,3.34,-0.65,0,0,3,54,,2.78,3.28,3.12,3.01,,2.84,2.88,3.0,3.19,0.99,0,0.022,0.856,0,0,0,0,1,0.923,0,Low Risk,1,0.895,1.0,0.95
3420,8,13,M,White,1,0,0,0,0,3.34,2.76,1.36,0,0,3,48,,3.49,3.71,3.88,3.34,2.6,3.32,3.02,,,0.99,0,0.007,0.912,1,0,1,2,1,0.95,1,Low Risk,1,0.901,,
3421,2,7,M,White,1,0,0,1,0,4.0,3.51,1.1,0,0,3,12,4.0,4.0,4.0,4.0,4.0,,,,,,0.833,1,0.015,1.0,0,0,0,0,1,0.95,1,Low Risk,1,0.95,,
3422,11,16,F,Hispanic,0,0,1,0,0,3.52,3.13,0.78,0,0,3,66,,3.38,3.67,2.99,3.52,,3.52,3.59,3.5,4.0,0.845,1,0.016,0.795,2,0,0,1,0,0.856,1,Low Risk,1,0.856,0.0,0.95
3423,5,10,F,White,0,0,1,0,0,4.0,3.55,0.82,0,0,3,30,4.0,4.0,4.0,3.99,4.0,,,,,,0.955,0,0.002,0.983,0,0,0,2,1,0.95,0,Low Risk,1,0.941,,
3424,0,5,F,Hispanic,1,0,0,1,0,3.5,3.5,0.0,0,0,1,0,3.85,3.62,3.25,3.27,3.5,,,,,,0.801,1,0.063,0.815,0,0,0,0,1,0.89,0,Low Risk,1,0.897,,
3425,8,13,F,White,0,0,0,0,0,3.21,3.73,-0.79,0,0,3,48,,3.58,3.36,3.2,3.21,3.51,2.77,2.85,,,0.803,1,0.035,0.855,0,0,1,1,1,0.907,1,Low Risk,1,0.911,,
3426,4,9,F,Hispanic,1,1,0,1,0,2.83,2.52,0.35,0,0,3,24,2.61,3.04,2.71,2.97,2.83,,,,,,0.909,0,0.016,0.909,0,0,1,1,0,0.892,1,Low Risk,1,0.95,,
3427,10,15,F,Black,0,0,0,0,0,2.49,3.15,-0.5,0,0,3,60,,2.92,2.67,2.61,2.49,,1.8,2.19,2.74,2.5,0.845,1,0.026,0.914,0,0,1,0,1,0.752,0,Medium Risk,1,0.802,1.0,0.801
3428,1,7,M,Hispanic,0,0,0,0,0,2.84,3.08,-0.48,0,0,2,6,2.68,2.59,2.51,3.6,2.84,,,,,,0.914,0,0.055,0.886,0,0,0,1,1,0.95,1,Low Risk,1,0.95,,
3429,11,15,F,Hispanic,1,0,0,0,0,3.57,3.12,0.82,0,0,3,66,,3.81,3.86,3.46,3.57,,3.75,3.31,3.18,3.64,0.96,0,0.014,0.824,0,0,0,0,1,0.95,1,Low Risk,1,0.944,1.0,0.95
3430,2,6,M,White,0,0,0,0,0,3.86,3.5,0.55,0,0,3,12,4.0,4.0,3.86,3.58,3.86,,,,,,0.938,0,0.039,0.936,0,0,1,2,1,0.95,0,Low Risk,1,0.95,,
3431,6,11,F,Black,1,0,0,0,0,2.78,2.51,0.09,0,0,3,36,,2.6,2.46,2.73,2.78,2.86,2.83,3.21,,,0.954,0,0.03,0.962,0,0,1,0,1,0.878,0,Low Risk,1,0.87,,
3432,9,14,F,Hispanic,0,0,0,0,0,2.57,2.9,-0.45,0,0,3,54,,2.78,2.82,2.44,2.57,,1.93,2.84,2.6,2.6,0.922,0,0.014,0.946,0,0,3,0,1,0.927,1,Low Risk,1,0.95,1.0,0.95
3433,7,12,F,Black,0,0,0,0,0,3.05,3.01,-0.06,0,0,3,42,,2.63,2.77,3.07,3.05,3.3,3.19,3.35,,,0.898,1,0.035,0.85,0,0,0,0,0,0.832,1,Low Risk,0,0.823,,
3434,0,5,F,Black,0,0,1,0,0,3.66,3.66,0.0,0,0,1,0,4.0,3.9,3.47,3.26,3.66,,,,,,0.99,0,0.0,0.926,0,0,0,0,1,0.95,1,Low Risk,1,0.95,,
3435,2,7,M,Asian,0,0,0,0,0,3.88,3.87,-0.02,0,0,3,12,3.83,4.0,3.7,4.0,3.88,,,,,,0.99,0,0.007,1.0,0,0,1,0,1,0.95,1,Low Risk,1,0.95,,
3436,0,5,M,White,1,0,0,0,0,2.78,2.78,0.0,0,0,1,0,2.94,2.51,2.57,3.08,2.78,,,,,,0.905,0,0.017,0.937,0,0,0,1,1,0.95,1,Low Risk,1,0.95,,
3437,9,14,F,White,1,0,0,0,1,2.65,3.19,-1.21,0,0,3,54,,2.56,2.73,2.25,2.65,,2.72,2.86,2.51,2.91,0.803,1,0.088,0.869,1,1,1,1,1,0.683,0,Medium Risk,1,0.71,1.0,0.748
3438,0,5,M,White,1,0,0,0,0,2.83,2.83,0.0,0,0,1,0,2.88,2.49,3.05,2.91,2.83,,,,,,0.877,1,0.03,0.995,0,0,0,2,1,0.893,1,Low Risk,1,0.926,,
3439,7,12,F,Black,0,0,0,0,0,4.0,3.87,0.01,0,0,3,42,,4.0,4.0,4.0,4.0,4.0,4.0,4.0,,,0.848,1,0.037,0.74,0,0,0,1,1,0.95,1,Low Risk,1,0.95,,
3440,4,9,M,Hispanic,0,0,0,0,0,3.85,3.94,-0.13,0,0,3,24,3.69,3.72,4.0,4.0,3.85,,,,,,0.975,0,0.014,0.776,0,0,1,2,1,0.95,1,Low Risk,1,0.95,,
3441,11,16,F,White,0,0,0,0,0,3.63,3.69,0.0,0,0,3,66,,3.6,4.0,3.34,3.63,,3.54,3.63,4.0,3.27,0.945,0,0.005,0.948,1,0,3,0,1,0.95,1,Low Risk,1,0.924,1.0,0.95
3442,2,7,M,White,0,0,0,0,0,3.91,3.66,-0.09,0,0,3,12,3.8,3.83,4.0,4.0,3.91,,,,,,0.914,0,0.03,0.855,2,0,0,1,1,0.95,1,Low Risk,1,0.95,,
3443,2,7,F,Multi-racial,0,0,0,0,0,3.45,3.66,-0.24,0,0,3,12,3.42,3.17,3.71,3.51,3.45,,,,,,0.873,1,0.034,0.876,0,0,1,1,0,0.95,1,Low Risk,0,0.95,,
3444,3,8,F,White,1,0,1,0,0,3.54,2.69,2.08,0,0,3,18,3.51,3.58,3.5,3.57,3.54,,,,,,0.99,0,0.023,1.0,0,0,0,2,1,0.95,1,Low Risk,1,0.895,,
3445,9,14,F,Asian,0,0,0,0,0,3.61,3.28,0.9,0,0,3,54,,3.62,3.79,3.69,3.61,,3.47,3.77,3.52,3.44,0.933,0,0.037,0.951,0,0,0,2,1,0.95,1,Low Risk,1,0.95,1.0,0.95
3446,0,5,M,Asian,0,0,0,0,0,3.98,3.98,0.0,0,0,1,0,3.9,4.0,4.0,4.0,3.98,,,,,,0.98,0,0.065,0.84,0,0,1,2,1,0.95,1,Low Risk,1,0.878,,
3447,3,8,M,White,0,0,0,0,0,3.96,3.3,0.63,0,0,3,18,4.0,4.0,3.83,4.0,3.96,,,,,,0.99,0,0.029,1.0,0,0,0,2,0,0.95,1,Low Risk,1,0.95,,
3448,11,16,F,White,1,0,1,0,0,3.03,2.85,0.29,0,0,3,66,,3.38,3.12,2.82,3.03,,2.76,3.15,2.59,3.37,0.85,1,0.001,1.0,0,0,0,0,1,0.705,1,Medium Risk,1,0.763,1.0,0.807
3449,4,9,M,White,1,0,0,0,0,3.31,2.9,0.27,0,0,3,24,3.34,3.11,3.7,3.08,3.31,,,,,,0.898,1,0.046,0.826,0,0,0,1,1,0.891,1,Low Risk,1,0.888,,
3450,2,8,F,White,1,0,0,0,0,2.43,2.99,-1.57,1,0,3,10,2.43,1.97,2.97,2.36,2.43,,,,,,0.99,0,0.047,0.837,1,0,1,1,1,0.837,1,Low Risk,0,0.804,,
3451,2,7,F,White,0,1,0,0,0,3.73,2.95,1.46,0,0,3,12,3.71,3.95,3.65,3.6,3.73,,,,,,0.875,1,0.065,0.972,0,0,0,0,1,0.947,1,Low Risk,1,0.95,,
3452,6,11,F,White,1,1,1,0,0,1.92,1.98,-0.14,0,0,3,36,,1.83,1.66,1.87,1.92,1.72,2.29,2.14,,,0.99,0,0.003,0.722,2,0,0,0,1,0.59,0,High Risk,0,0.658,,
3453,4,9,M,White,0,0,0,0,0,3.75,3.6,0.13,0,0,3,24,3.63,3.67,3.9,3.79,3.75,,,,,,0.932,0,0.045,1.0,0,0,0,0,1,0.95,1,Low Risk,1,0.877,,
3454,12,17,M,Asian,1,0,0,0,0,3.28,3.03,0.36,0,0,3,72,,2.92,3.09,3.11,3.28,,3.21,3.09,3.99,3.53,0.887,1,0.041,0.675,1,1,1,1,1,0.863,0,Low Risk,0,0.884,1.0,0.95
3455,12,17,M,White,0,0,0,0,0,3.69,3.8,-0.03,0,0,3,72,,3.65,3.7,3.72,3.69,,4.0,3.41,3.75,3.57,0.795,1,0.103,0.981,0,0,0,1,1,0.95,1,Low Risk,1,0.927,1.0,0.95
3456,2,8,M,Hispanic,0,0,0,0,0,4.0,3.34,1.32,0,0,3,12,4.0,4.0,4.0,4.0,4.0,,,,,,0.771,1,0.093,0.897,1,0,0,1,1,0.95,1,Low Risk,1,0.905,,
3457,6,12,F,White,1,0,0,0,0,3.12,3.01,0.4,1,0,3,34,,3.31,3.06,3.34,3.12,3.13,3.14,2.75,,,0.932,0,0.01,0.862,1,0,0,2,1,0.873,0,Low Risk,1,0.834,,
3458,8,12,F,White,1,0,0,1,0,2.37,2.6,0.49,0,0,3,48,,1.99,2.84,2.78,2.37,2.01,2.56,2.02,,,0.915,0,0.006,0.797,0,0,0,1,1,0.805,1,Low Risk,1,0.829,,
3459,12,17,F,Hispanic,1,0,0,0,0,2.13,2.48,-0.42,0,0,3,72,,1.79,1.77,2.26,2.13,,2.14,2.04,2.48,2.4,0.958,0,0.004,0.876,1,0,1,1,1,0.812,1,Low Risk,0,0.693,1.0,0.825
3460,12,17,F,Hispanic,1,0,1,0,0,2.2,2.5,-0.25,0,0,3,72,,1.97,2.89,2.96,2.2,,2.06,1.83,1.84,1.83,0.935,0,0.053,0.93,0,0,2,2,1,0.866,1,Low Risk,1,0.93,1.0,0.886
3461,1,6,F,White,1,0,1,1,0,2.75,3.32,-1.15,0,0,2,6,2.45,2.86,3.04,2.66,2.75,,,,,,0.895,1,0.002,0.795,0,0,0,1,1,0.796,0,Medium Risk,1,0.803,,
3462,1,6,M,Hispanic,0,0,0,0,0,3.93,3.75,0.36,0,0,2,6,3.76,4.0,3.95,4.0,3.93,,,,,,0.855,1,0.046,0.966,0,0,0,1,1,0.95,1,Low Risk,1,0.95,,
3463,7,12,M,Hispanic,1,0,0,0,0,3.03,2.75,0.65,0,0,3,42,,3.16,2.99,2.89,3.03,3.23,2.82,3.06,,,0.824,1,0.033,0.97,0,0,0,2,1,0.807,1,Low Risk,1,0.837,,
